idx,mask_type,metric,region,method,value
12714,center,ssim,known,baseline,0.9447595477104187
12714,center,ssim,known,repaint,0.9452155232429504
12714,center,ssim,known,bar,0.946877658367157
12714,half,ssim,full,baseline,0.6521923542022705
12714,half,ssim,full,repaint,0.7508727312088013
12714,half,ssim,full,bar,0.7662795782089233
12714,half,ssim,hole,baseline,0.3640332520008087
12714,half,ssim,hole,repaint,0.5707528591156006
12714,half,ssim,hole,bar,0.5934194326400757
12714,half,ssim,known,baseline,0.9403513669967651
12714,half,ssim,known,repaint,0.930992603302002
12714,half,ssim,known,bar,0.939139723777771
12714,brush,ssim,full,baseline,0.8734838366508484
12714,brush,ssim,full,repaint,0.8985570669174194
12714,brush,ssim,full,bar,0.8860070705413818
12714,brush,ssim,hole,baseline,0.7884683012962341
12714,brush,ssim,hole,repaint,0.8472634553909302
12714,brush,ssim,hole,bar,0.8196744918823242
12714,brush,ssim,known,baseline,0.9224914908409119
12714,brush,ssim,known,repaint,0.9281255602836609
12714,brush,ssim,known,bar,0.9242448806762695
13646,center,ssim,full,baseline,0.7225576043128967
13646,center,ssim,full,repaint,0.7307232618331909
13646,center,ssim,full,bar,0.7385342121124268
13646,center,ssim,hole,baseline,0.5080643892288208
13646,center,ssim,hole,repaint,0.5911673903465271
13646,center,ssim,hole,bar,0.5893661975860596
13646,center,ssim,known,baseline,0.7635086178779602
13646,center,ssim,known,repaint,0.7573671936988831
13646,center,ssim,known,bar,0.7670132517814636
13646,half,ssim,full,baseline,0.5447776913642883
13646,half,ssim,full,repaint,0.5987752676010132
13646,half,ssim,full,bar,0.6062724590301514
13646,half,ssim,hole,baseline,0.3117479085922241
13646,half,ssim,hole,repaint,0.44378483295440674
13646,half,ssim,hole,bar,0.43715983629226685
13646,half,ssim,known,baseline,0.7778074741363525
13646,half,ssim,known,repaint,0.7537657022476196
13646,half,ssim,known,bar,0.7753850817680359
13646,brush,ssim,full,baseline,0.6979161500930786
13646,brush,ssim,full,repaint,0.7143977880477905
13646,brush,ssim,full,bar,0.7126890420913696
13646,brush,ssim,hole,baseline,0.5060070753097534
13646,brush,ssim,hole,repaint,0.5782364010810852
13646,brush,ssim,hole,bar,0.5473819375038147
13646,brush,ssim,known,baseline,0.761935293674469
13646,brush,ssim,known,repaint,0.7598200440406799
13646,brush,ssim,known,bar,0.7678340673446655
12775,center,ssim,full,baseline,0.8304921984672546
12775,center,ssim,full,repaint,0.8403103351593018
12775,center,ssim,full,bar,0.8325194716453552
12775,center,ssim,hole,baseline,0.6937683820724487
12775,center,ssim,hole,repaint,0.7517076134681702
12775,center,ssim,hole,bar,0.7461786866188049
12775,center,ssim,known,baseline,0.8565954566001892
12775,center,ssim,known,repaint,0.8572263121604919
12775,center,ssim,known,bar,0.8490035533905029
12775,half,ssim,full,baseline,0.6783526539802551
12775,half,ssim,full,repaint,0.6945074200630188
12775,half,ssim,full,bar,0.714035153388977
12775,half,ssim,hole,baseline,0.48282432556152344
12775,half,ssim,hole,repaint,0.5386921167373657
12775,half,ssim,hole,bar,0.5583849549293518
12775,half,ssim,known,baseline,0.8738809823989868
12775,half,ssim,known,repaint,0.8503227233886719
12775,half,ssim,known,bar,0.8696852922439575
12775,brush,ssim,full,baseline,0.7935688495635986
12775,brush,ssim,full,repaint,0.816016674041748
12775,brush,ssim,full,bar,0.8020676374435425
12775,brush,ssim,hole,baseline,0.6360714435577393
12775,brush,ssim,hole,repaint,0.7229270339012146
12775,brush,ssim,hole,bar,0.6786426901817322
12775,brush,ssim,known,baseline,0.8422003388404846
12775,brush,ssim,known,repaint,0.844760537147522
12775,brush,ssim,known,bar,0.8401784300804138
7903,center,ssim,full,baseline,0.8290611505508423
7903,center,ssim,full,repaint,0.8483082056045532
7903,center,ssim,full,bar,0.843279242515564
7903,center,ssim,hole,baseline,0.5425875782966614
7903,center,ssim,hole,repaint,0.6546708345413208
7903,center,ssim,hole,bar,0.6445930004119873
7903,center,ssim,known,baseline,0.8837544918060303
7903,center,ssim,known,repaint,0.885277271270752
7903,center,ssim,known,bar,0.8812123537063599
7903,half,ssim,full,baseline,0.655844509601593
7903,half,ssim,full,repaint,0.6983968019485474
7903,half,ssim,full,bar,0.7116899490356445
7903,half,ssim,hole,baseline,0.4346999526023865
7903,half,ssim,hole,repaint,0.5278100967407227
7903,half,ssim,hole,bar,0.5506195425987244
7903,half,ssim,known,baseline,0.8769890069961548
7903,half,ssim,known,repaint,0.8689835071563721
7903,half,ssim,known,bar,0.8727604150772095
7903,brush,ssim,full,baseline,0.8163451552391052
7903,brush,ssim,full,repaint,0.8340920209884644
7903,brush,ssim,full,bar,0.8241807222366333
7903,brush,ssim,hole,baseline,0.6884777545928955
7903,brush,ssim,hole,repaint,0.7437540292739868
7903,brush,ssim,hole,bar,0.7149625420570374
7903,brush,ssim,known,baseline,0.8693084716796875
7903,brush,ssim,known,repaint,0.8715104460716248
7903,brush,ssim,known,bar,0.8694193959236145
14965,center,ssim,full,baseline,0.8621945977210999
14965,center,ssim,full,repaint,0.866919219493866
14965,center,ssim,full,bar,0.8647881746292114
14965,center,ssim,hole,baseline,0.685373842716217
14965,center,ssim,hole,repaint,0.7149884700775146
14965,center,ssim,hole,bar,0.710961103439331
14965,center,ssim,known,baseline,0.8959530591964722
14965,center,ssim,known,repaint,0.895925760269165
14965,center,ssim,known,bar,0.8941567540168762
14965,half,ssim,full,baseline,0.5650279521942139
14965,half,ssim,full,repaint,0.6594687700271606
14965,half,ssim,full,bar,0.6661536693572998
14965,half,ssim,hole,baseline,0.2505301833152771
14965,half,ssim,hole,repaint,0.44916871190071106
14965,half,ssim,hole,bar,0.4498496651649475
14965,half,ssim,known,baseline,0.8795257210731506
14965,half,ssim,known,repaint,0.8697687387466431
14965,half,ssim,known,bar,0.8824575543403625
14965,brush,ssim,full,baseline,0.7714072465896606
14965,brush,ssim,full,repaint,0.8176695704460144
14965,brush,ssim,full,bar,0.798783540725708
14965,brush,ssim,hole,baseline,0.6283063292503357
14965,brush,ssim,hole,repaint,0.707356870174408
14965,brush,ssim,hole,bar,0.696526288986206
14965,brush,ssim,known,baseline,0.840526282787323
14965,brush,ssim,known,repaint,0.8709515333175659
14965,brush,ssim,known,bar,0.8481746315956116
16280,center,ssim,full,baseline,0.8760339617729187
16280,center,ssim,full,repaint,0.8828111886978149
16280,center,ssim,full,bar,0.8846874237060547
16280,center,ssim,hole,baseline,0.5869497060775757
16280,center,ssim,hole,repaint,0.6327303051948547
16280,center,ssim,hole,bar,0.6491256356239319
16280,center,ssim,known,baseline,0.9312258362770081
16280,center,ssim,known,repaint,0.9305565357208252
16280,center,ssim,known,bar,0.9296606779098511
16280,half,ssim,full,baseline,0.7185137271881104
16280,half,ssim,full,repaint,0.7968052625656128
16280,half,ssim,full,bar,0.7946204543113708
16280,half,ssim,hole,baseline,0.4992448091506958
16280,half,ssim,hole,repaint,0.6657816171646118
16280,half,ssim,hole,bar,0.6526877880096436
16280,half,ssim,known,baseline,0.9377827644348145
16280,half,ssim,known,repaint,0.9278289079666138
16280,half,ssim,known,bar,0.9365532398223877
