metric,region,mask_type,method,n,mean,std,median,min,max,rank
lpips,hole,center,repaint,100,0.08800114963203669,0.023464613853950975,0.08807523176074028,0.041573699563741684,0.13977588713169098,3
lpips,hole,half,baseline,100,0.2843955977261066,0.0526233864555313,0.28010445833206177,0.19206839799880981,0.4098903238773346,1
lpips,hole,half,bar,100,0.36615381985902784,0.03850359946512917,0.368556872010231,0.27766552567481995,0.4674284756183624,2
lpips,hole,half,repaint,100,0.41559223264455797,0.030763953962186456,0.4178072214126587,0.3123908042907715,0.47868019342422485,3
psnr,full,brush,repaint,100,27.86717939376831,2.1552575521881474,27.90827465057373,23.305654525756836,32.56319046020508,1
psnr,full,brush,bar,100,27.813509368896483,2.1636431739038753,27.965683937072754,22.49935531616211,32.484310150146484,2
psnr,full,brush,baseline,100,26.83338674545288,2.2325390513544896,26.8945951461792,20.997577667236328,31.025737762451172,3
psnr,full,center,bar,100,26.344999809265136,2.32912950908056,26.179614067077637,17.937170028686523,30.62955093383789,1
psnr,full,center,baseline,100,25.615500144958496,2.5408460061221367,26.01947784423828,15.017728805541992,30.476762771606445,2
psnr,full,center,repaint,100,25.372441062927248,2.4581936678904546,25.326621055603027,17.80056381225586,30.78702163696289,3
psnr,full,half,bar,100,14.911526193618775,1.9874757623752335,14.663442611694336,10.432851791381836,21.603744506835938,1
psnr,full,half,repaint,100,14.382522916793823,1.8704058921681215,13.9982328414917,10.518423080444336,20.542869567871094,2
psnr,full,half,baseline,100,13.671093130111695,2.0838743202820473,13.594943523406982,9.175802230834961,20.298280715942383,3
psnr,hole,brush,repaint,100,23.704427433013915,2.317731723545176,23.71593952178955,18.29177474975586,29.434396743774414,1
psnr,hole,brush,bar,100,23.589604396820068,2.250646987182404,23.806437492370605,17.37811279296875,29.076221466064453,2
psnr,hole,brush,baseline,100,22.31928689956665,2.363817990618042,22.291778564453125,15.724411010742188,27.408172607421875,3
psnr,hole,center,bar,100,19.518028507232668,2.605193479194136,19.670187950134277,10.084799766540527,24.600364685058594,1
psnr,hole,center,baseline,100,18.623450956344605,2.7856836476150235,19.18879222869873,7.117975234985352,24.659420013427734,2
psnr,hole,center,repaint,100,18.389486026763915,2.7688929750299285,18.622085571289062,10.078660011291504,24.500816345214844,3
